role,name,team
student,Kureans,CS2113-T13-1
student,CrimsonTitan79,CS2113-T13-1
student,justinfidelis,CS2113-T13-1
student,jushg,CS2113-T13-1
student,EricBryann,CS2113-T13-1
student,andrewtkh1,CS2113-T13-2
student,thaddyyz,CS2113-T13-2
student,mohamad-adam8991,CS2113-T13-2
student,WaiKit-nus,CS2113-T13-2
student,markuslyq,CS2113-T13-2
student,Yuxinn-J,CS2113-T13-3
student,oneScotch,CS2113-T13-3
student,Vincent6896,CS2113-T13-3
student,LilyDaytoy,CS2113-T13-3
student,Mist0919,CS2113-T13-3
student,DuckWillow,CS2113-T13-4
student,maxwireddevs,CS2113-T13-4
student,Isabella-L,CS2113-T13-4
student,LimJiaJing,CS2113-T13-4
student,MaifengNg,CS2113-T14-1
student,Herrekt,CS2113-T14-1
student,peng-217,CS2113-T14-1
student,arcturusz,CS2113-T14-1
student,ShaoYurui,CS2113-T14-1
student,WU-LUOYU-SERENA,CS2113-T14-1
student,exetr,CS2113-T16-1
student,silinche,CS2113-T16-1
student,avellinwong01,CS2113-T16-1
student,dyahnafisah,CS2113-T16-1
student,owensoh,CS2113-T16-2
student,wutdequack,CS2113-T16-2
student,nguyin,CS2113-T16-2
student,ruyian,CS2113-T16-2
student,bernardboey,CS2113-T16-3
student,JoshHDs,CS2113-T16-3
student,vincentlauhl,CS2113-T16-3
student,KairuiHu,CS2113-T16-3
student,ZhangErliCarl,CS2113-T16-4
student,husysg,CS2113-T16-4
student,Journeyman1998,CS2113-T16-4
student,mohamedirfansh,CS2113-T16-4
student,yzhedwin,CS2113T-F11-1
student,yapjoonsiong,CS2113T-F11-1
student,DmitriYam,CS2113T-F11-1
student,jiexiong-zeng,CS2113T-F11-1
student,naijie2108,CS2113T-F11-1
student,LS-Young,CS2113T-F11-2
student,EdisonZhong17,CS2113T-F11-2
student,ZenoNexus,CS2113T-F11-2
student,YEOWEIHNGWHYELAB,CS2113T-F11-2
student,jyxhazcake,CS2113T-F11-2
student,Demonshaha,CS2113T-F11-3
student,YipWayne,CS2113T-F11-3
student,bobowoo2468,CS2113T-F11-3
student,swongts,CS2113T-F11-3
student,zh1huang,CS2113T-F11-4
student,haoyusimon,CS2113T-F11-4
student,yuejunfeng0909,CS2113T-F11-4
student,t-l-xin,CS2113T-F11-4
student,ThaddeusLim99,CS2113T-F12-1
student,xRossKoh,CS2113T-F12-1
student,xkisxk,CS2113T-F12-1
student,JWweiyin,CS2113T-F12-1
student,astralum,CS2113T-F12-1
student,jonathanmui4,CS2113T-F12-2
student,IshaaanVyas,CS2113T-F12-2
student,KishorKumar11,CS2113T-F12-2
student,qqkoh,CS2113T-F12-2
student,JMattChiam,CS2113T-F12-2
student,leyondlee,CS2113T-F12-3
student,Jon-the-MELON,CS2113T-F12-3
student,hozhenhong99,CS2113T-F12-3
student,daknam2001,CS2113T-F12-3
student,rachelkeh,CS2113T-F12-3
student,Teckwhye,CS2113T-F12-4
student,izdiyadfrhn,CS2113T-F12-4
student,xingyuan123,CS2113T-F12-4
student,ianwangeeen,CS2113T-F12-4
student,poppolette,CS2113T-F12-4
student,flerovious,CS2113T-F14-1
student,STAung07,CS2113T-F14-1
student,kahhe,CS2113T-F14-1
student,DJ-Tan,CS2113T-F14-1
student,huien77,CS2113T-F14-1
student,xingjie99,CS2113T-F14-2
student,weidak,CS2113T-F14-2
student,tryyang2001,CS2113T-F14-2
student,tttyyzzz,CS2113T-F14-2
student,tlyi,CS2113T-F14-2
student,pragyan01,CS2113T-F14-3
student,VishalJeyaram,CS2113T-F14-3
student,arvejw,CS2113T-F14-3
student,EdwardZYWang,CS2113T-F14-3
student,teoziyiivy,CS2113T-F14-3
student,marcusbory,CS2113T-T09-1
student,ashrafjfr,CS2113T-T09-1
student,ng-andre,CS2113T-T09-1
student,lezongmun,CS2113T-T09-1
student,mayankp291,CS2113T-T09-1
student,titustortoiseturtle1999,CS2113T-T09-2
student,leowyy99,CS2113T-T09-2
student,MAZJ124,CS2113T-T09-2
student,madhanse,CS2113T-T09-2
student,Jiale-Sun,CS2113T-T09-2
student,mudkip8,CS2113T-T09-3
student,AayushMathur7,CS2113T-T09-3
student,datn02,CS2113T-T09-3
student,ngoivanessa,CS2113T-T09-3
student,nishantrai-nus,CS2113T-T09-3
student,ngnigel99,CS2113T-T09-4
student,shoibloya,CS2113T-T09-4
student,nvbinh15,CS2113T-T09-4
student,swatimahadevan,CS2113T-T09-4
student,SvethaMahadevan,CS2113T-T09-4
student,deonchung,CS2113T-T10-1
student,jiangweichen835,CS2113T-T10-1
student,RemusTeo,CS2113T-T10-1
student,alvintan01,CS2113T-T10-1
student,a-tph,CS2113T-T10-1
student,kelvneo,CS2113T-T10-2
student,3m0W33D,CS2113T-T10-2
student,Woolicious98,CS2113T-T10-2
student,LouisLouis19,CS2113T-T10-2
student,arraysius,CS2113T-T10-3
student,rizemon,CS2113T-T10-3
student,SeenFang,CS2113T-T10-3
student,Kair0s3,CS2113T-T10-3
student,kum-wh,CS2113T-T12-1
student,williamlamjy,CS2113T-T12-1
student,theodorekwok,CS2113T-T12-1
student,KVignesh122,CS2113T-T12-1
student,joshualeeky,CS2113T-T12-2
student,itsleeqian,CS2113T-T12-2
student,yeezao,CS2113T-T12-2
student,lixiyuan416,CS2113T-T12-2
student,leeyikai,CS2113T-T12-2
student,Nirmaleshwar,CS2113T-T12-3
student,jonathanlkw,CS2113T-T12-3
student,KZQ1999,CS2113T-T12-3
student,kyun99,CS2113T-T12-3
student,AnShengLee,CS2113T-T12-3
student,Cesare4869,CS2113T-T12-4
student,jerrelllzw,CS2113T-T12-4
student,leecheokfeng,CS2113T-T12-4
student,kairoskoh,CS2113T-T12-4
student,saravanamani1999,CS2113T-W11-1
student,shyamgj1900,CS2113T-W11-1
student,nonrnp,CS2113T-W11-1
student,giterator,CS2113T-W11-1
student,powzx,CS2113T-W11-1
student,irvinseet,CS2113T-W11-2
student,yanjia1777,CS2113T-W11-2
student,Yitching,CS2113T-W11-2
student,pos0414,CS2113T-W11-2
student,Roycius,CS2113T-W11-3
student,richwill28,CS2113T-W11-3
student,rebchua39,CS2113T-W11-3
student,ptejasv,CS2113T-W11-3
student,renzocanare,CS2113T-W11-4
student,jhsee5,CS2113T-W11-4
student,Rakesh12000,CS2113T-W11-4
student,Dniv-ra,CS2113T-W11-4
student,kengjit,CS2113T-W12-1
student,brendanlsz,CS2113T-W12-1
student,siyuancheng178,CS2113T-W12-1
student,aaapppsss,CS2113T-W12-1
student,praj-bellakka,CS2113T-W12-1
student,adricpjw,CS2113T-W12-2
student,ChewyChair,CS2113T-W12-2
student,Poopies99,CS2113T-W12-2
student,xuanlc113,CS2113T-W12-2
student,aditichadha1310,CS2113T-W12-2
student,crabnuggets,CS2113T-W12-3
student,alwinangys,CS2113T-W12-3
student,antrikshv,CS2113T-W12-3
student,Alvinlj00,CS2113T-W12-3
student,alvynben,CS2113T-W12-4
student,zonglun99,CS2113T-W12-4
student,BryanElmer,CS2113T-W12-4
student,uosjapuelks,CS2113T-W12-4
student,Cuiminjing,CS2113T-W13-1
student,Uxinnn,CS2113T-W13-1
student,conradwee,CS2113T-W13-1
student,gavienwz,CS2113T-W13-1
student,jach23,CS2113T-W13-1
student,ChuaXiongWei,CS2113T-W13-2
student,rondayvoo,CS2113T-W13-2
student,edlyIrsyad,CS2113T-W13-2
student,KaiserHuang88,CS2113T-W13-2
student,dlimyh98,CS2113T-W13-2
student,SuibianP,CS2113T-W13-3
student,APZH,CS2113T-W13-3
student,SeanRobertDH,CS2113T-W13-3
student,Xuefei2001,CS2113T-W13-3
student,Rrraaaeee,CS2113T-W13-4
student,ChrisLangton,CS2113T-W13-4
student,theeugenechong,CS2113T-W13-4
student,fansxx,CS2113T-W13-4
student,okkhoy,teaching-team
